,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Store Count
4577,14225,10.68,13.28,4.56,5.0
4578,14226,17.07,20.17,-0.15,1.0
4580,14228,27.07,12.75,2.17,3.0
4584,14303,2.21,21.63,-7.71,1.0
4585,14304,16.03,13.51,3.92,2.0
4595,14424,12.66,16.48,1.77,1.0
4599,14432,2.85,-2.49,0.64,1.0
4605,14450,10.36,7.49,5.53,2.0
4606,14454,-10.17,14.05,-3.4,1.0
4645,14526,4.6,19.87,3.1,1.0
4650,14533,-5.95,19.73,-2.77,1.0
4651,14534,10.27,8.55,1.73,1.0
4653,14537,-24.71,-5.82,-15.91,1.0
4669,14564,26.07,22.95,3.8,3.0
4674,14580,14.31,9.29,4.28,2.0
4685,14607,24.59,3.23,1.77,1.0
4693,14615,8.83,6.1,6.92,1.0
4696,14618,22.87,6.68,-1.66,2.0
4698,14620,26.88,12.46,4.96,1.0
4699,14621,16.24,2.29,2.86,1.0
4700,14622,10.72,7.6,4.26,1.0
4701,14623,9.69,8.0,8.96,3.0
4702,14624,16.88,4.08,5.67,2.0
4704,14626,12.79,5.62,2.41,1.0
4705,14627,15.05,10.15,178.95,1.0
4706,14701,6.31,5.45,3.98,1.0
4779,14814,17.71,0.72,-9.93,1.0
4805,14850,17.5,19.19,2.86,3.0
4841,14901,12.58,13.53,2.58,1.0
4851,15009,23.6,15.6,1.11,1.0
4853,15012,41.11,21.75,-0.98,1.0
4854,15014,5.31,9.67,-0.81,1.0
4856,15017,10.8,12.57,0.22,2.0
4876,15044,16.49,23.81,1.14,2.0
4891,15061,13.01,10.76,-1.26,2.0
4898,15068,20.04,17.22,1.33,1.0
4909,15084,3.65,12.81,5.57,1.0
4915,15090,-1.06,12.04,7.35,3.0
4917,15102,14.99,16.73,3.52,2.0
4920,15108,21.36,17.78,-0.19,1.0
4924,15120,1.65,14.5,2.87,2.0
4937,15143,29.14,26.53,2.58,2.0
4940,15146,4.69,15.52,0.95,3.0
4941,15147,20.86,8.29,3.86,1.0
4945,15203,21.3,55.14,4.69,1.0
4947,15205,13.54,16.1,2.55,3.0
4948,15206,31.37,51.54,3.54,2.0
4955,15213,-3.21,35.51,-1.59,4.0
4958,15216,21.37,24.14,-0.01,1.0
4959,15217,21.85,20.02,1.83,2.0
4961,15219,19.32,32.71,2.16,5.0
4962,15220,21.6,37.62,2.0,2.0
4964,15222,77.98,49.17,-3.0,5.0
4966,15224,30.39,79.67,8.84,2.0
4970,15228,41.63,34.82,4.54,1.0
4972,15232,18.58,31.8,0.17,2.0
4975,15235,10.42,8.24,0.05,1.0
4977,15237,18.76,25.49,1.59,6.0
4978,15238,18.44,9.59,0.17,2.0
4980,15241,8.16,20.99,0.47,3.0
4984,15301,17.69,26.49,2.68,2.0
4992,15317,31.46,25.46,3.06,4.0
5038,15401,17.78,29.46,2.57,1.0
5105,15501,18.27,2.02,6.56,3.0
5110,15522,35.85,20.65,7.89,2.0
5114,15533,3.68,1.24,1.12,1.0
5141,15601,13.44,10.52,0.34,2.0
5171,15642,14.02,9.81,3.72,2.0
5175,15650,36.78,20.29,0.65,1.0
5185,15668,6.76,7.65,3.53,1.0
5188,15672,65.57,12.36,-1.59,1.0
5211,15701,14.56,16.46,1.22,1.0
5302,15904,22.82,6.97,-1.82,1.0
5343,16001,24.37,18.13,4.67,1.0
5367,16051,23.29,33.05,1.29,1.0
5369,16053,32.56,20.08,-3.34,1.0
5377,16066,12.27,23.71,6.06,3.0
5401,16137,18.18,14.74,7.13,1.0
5408,16148,9.75,16.47,-0.66,1.0
5424,16214,14.72,4.08,20.01,1.0
5531,16501,-6.74,10.15,5.1,1.0
5535,16505,15.9,14.79,5.69,1.0
5539,16509,12.21,13.22,2.14,2.0
5601,16689,5.0,20.03,13.38,1.0
5631,16801,37.6,14.53,9.88,2.0
5632,16802,15.05,10.15,104.17,1.0
5633,16803,15.65,23.8,9.28,1.0
5723,17011,16.11,3.53,0.82,3.0
5724,17013,16.01,11.02,4.24,3.0
5725,17015,15.68,14.09,0.94,1.0
5726,17016,59.26,-18.89,5.37,1.0
5732,17022,17.93,14.63,4.72,1.0
5735,17025,12.33,10.98,3.86,1.0
5742,17033,11.86,12.43,1.24,3.0
5750,17041,-19.04,-4.73,-26.61,1.0
5759,17050,7.3,14.11,-1.36,3.0
5763,17055,10.63,10.46,4.07,1.0
5765,17057,11.63,1.71,7.21,2.0
5788,17081,24.07,-13.03,-11.29,1.0
5805,17109,1.72,1.73,-4.02,2.0
5806,17110,1.96,2.56,-2.69,2.0
5807,17111,5.07,-1.8,3.43,2.0
5808,17112,6.82,11.41,1.35,1.0
5811,17201,24.43,2.28,3.63,2.0
5835,17240,13.96,9.75,-5.52,1.0
5849,17257,11.34,5.01,7.93,1.0
5863,17302,31.83,-4.88,12.44,1.0
5880,17325,7.83,1.49,6.28,1.0
5883,17331,7.09,-7.68,3.22,2.0
5897,17361,10.91,1.35,2.16,1.0
5908,17402,7.46,-7.22,-1.11,4.0
5909,17403,14.43,3.44,2.6,2.0
5913,17408,13.57,-0.18,1.0,1.0
5917,17507,15.05,10.15,100.0,1.0
5926,17522,11.35,5.47,-0.82,2.0
5934,17543,10.1,7.02,2.1,2.0
5957,17601,11.88,3.83,1.2,4.0
5958,17602,32.96,7.54,7.89,3.0
5959,17603,13.67,5.57,2.66,1.0
5961,17701,25.63,13.99,3.34,1.0
5976,17745,22.86,28.28,3.19,1.0
5984,17756,27.88,17.43,1.74,1.0
5988,17763,45.16,-12.33,37.09,1.0
6005,17815,11.69,15.23,2.96,2.0
6018,17837,19.86,19.5,1.1,2.0
6041,17870,30.54,21.45,9.16,3.0
6098,18011,18.03,-8.92,3.24,1.0
6101,18015,21.42,-8.44,1.12,1.0
6102,18016,15.05,10.15,2.14,1.0
6103,18017,13.75,-5.2,3.72,1.0
6109,18034,-2.23,-2.27,8.2,2.0
6117,18045,7.51,-5.84,3.83,3.0
6121,18052,14.57,-6.84,-0.95,2.0
6124,18055,4.66,-2.76,3.45,1.0
6149,18087,-23.79,91.15,-22.17,2.0
6153,18101,76.51,-11.73,-10.91,1.0
6155,18103,10.46,-8.66,0.51,2.0
6156,18104,12.81,0.67,-1.83,2.0
6158,18106,4.7,-2.03,1.63,1.0
6159,18109,12.08,-15.96,-2.97,2.0
6176,18229,0.19,-3.37,4.17,1.0
6185,18241,27.17,67.68,0.3,1.0
6198,18301,8.68,-24.82,3.72,1.0
