,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Starbucks Store Count,Walmart Store Count
275,13361,7.5,-8.51,8.52,0.0,0.0
276,13362,-48.96,106.98,19.34,0.0,0.0
277,13363,18.63,-0.08,24.66,0.0,0.0
278,13364,7.58,-9.36,21.49,0.0,0.0
279,13365,19.41,15.0,-1.08,1.0,0.0
280,13367,21.82,19.06,0.78,0.0,1.0
281,13368,-9.85,17.74,4.59,0.0,0.0
282,13402,45.65,-26.39,-5.27,0.0,0.0
283,13403,16.52,-4.85,3.6,0.0,0.0
284,13404,11.04,-8.75,17.77,0.0,0.0
285,13406,5.85,22.26,2.47,0.0,0.0
286,13407,21.91,0.79,1.93,0.0,0.0
287,13408,34.32,18.67,19.25,0.0,0.0
288,13409,0.16,3.4,12.57,0.0,0.0
289,13410,76.92,12.45,-16.98,0.0,0.0
290,13411,14.81,-2.67,3.83,0.0,0.0
291,13413,16.78,3.92,-0.23,0.0,1.0
292,13415,-23.15,174.81,1.17,0.0,0.0
293,13416,13.84,13.37,1.87,0.0,0.0
294,13417,-0.53,18.84,-2.64,0.0,0.0
295,13418,-42.04,-6.64,-1.66,0.0,0.0
296,13420,-8.33,-32.4,8.12,0.0,0.0
297,13421,13.09,5.69,4.13,0.0,1.0
298,13424,-6.39,8.6,5.03,0.0,0.0
299,13425,26.71,-2.89,-3.04,0.0,0.0
300,13428,-19.18,-5.53,-11.07,0.0,0.0
301,13431,7.81,18.62,-0.8,0.0,0.0
302,13433,62.02,12.36,2.45,0.0,0.0
303,13435,18.06,6.0,-12.01,0.0,0.0
304,13436,-4.59,38.8,-1.15,0.0,0.0
305,13437,32.41,48.21,3.11,0.0,0.0
306,13438,-0.36,13.54,14.34,0.0,0.0
307,13439,23.42,27.64,-3.82,0.0,0.0
308,13440,7.09,12.93,1.09,0.0,1.0
309,13441,-5.8,10.15,-42.54,0.0,0.0
310,13450,60.53,-27.04,-14.18,0.0,0.0
311,13452,3.86,7.99,11.2,0.0,0.0
312,13454,-0.14,-1.85,-1.86,0.0,0.0
313,13456,11.13,27.44,-2.87,0.0,0.0
314,13459,7.05,25.15,-0.67,0.0,0.0
315,13460,-6.71,18.68,2.73,0.0,0.0
316,13461,2.27,16.06,3.64,0.0,0.0
317,13464,-19.86,1.24,1.2,0.0,0.0
318,13468,19.09,16.95,-2.14,0.0,0.0
319,13469,40.96,105.1,32.84,0.0,0.0
320,13470,3.05,7.66,5.46,0.0,0.0
321,13471,23.26,44.48,2.09,0.0,0.0
322,13472,10.56,-42.04,35.96,0.0,0.0
323,13473,37.42,14.56,-1.94,0.0,0.0
324,13475,15.05,10.15,-50.0,0.0,0.0
325,13476,20.45,18.53,-2.93,0.0,0.0
326,13477,-10.67,31.08,13.81,0.0,0.0
327,13478,-14.07,14.37,-2.25,0.0,0.0
328,13480,13.84,10.92,10.22,0.0,0.0
329,13483,116.04,112.38,-8.9,0.0,0.0
330,13484,79.66,1047.11,31.49,0.0,0.0
331,13485,18.34,17.14,-3.41,0.0,0.0
332,13486,9.63,21.56,0.16,0.0,0.0
333,13488,-25.0,-53.45,-2.66,0.0,0.0
334,13489,3.18,6.81,-10.18,0.0,0.0
335,13490,-2.9,65.18,7.29,1.0,0.0
336,13491,22.9,25.94,5.34,0.0,0.0
337,13492,10.1,10.93,4.92,0.0,0.0
338,13493,17.75,18.47,11.48,0.0,0.0
339,13494,57.82,-13.9,-17.69,0.0,0.0
340,13495,22.45,7.15,2.8,0.0,0.0
341,13501,16.81,8.85,-0.36,0.0,0.0
342,13502,0.89,5.63,0.95,0.0,1.0
343,13601,10.98,13.49,2.87,2.0,1.0
344,13602,-19.81,10.15,-34.94,1.0,0.0
345,13603,21.94,-34.06,16.19,0.0,0.0
346,13605,15.63,15.21,-0.97,0.0,0.0
347,13606,6.98,31.81,4.96,0.0,0.0
348,13607,41.09,20.59,12.41,0.0,0.0
349,13608,-15.2,11.06,9.83,0.0,0.0
350,13612,30.64,21.35,3.86,0.0,0.0
351,13613,5.25,12.62,-3.21,0.0,0.0
352,13614,95.42,-34.45,9.04,0.0,0.0
353,13615,23.12,32.27,14.26,0.0,0.0
354,13616,27.45,-41.16,-6.01,0.0,0.0
355,13617,23.11,9.29,1.23,0.0,0.0
356,13618,-19.64,-6.51,-2.71,0.0,0.0
357,13619,16.94,22.71,-4.29,0.0,0.0
358,13620,-16.56,-1.27,-6.63,0.0,0.0
359,13621,22.97,30.82,24.33,0.0,0.0
360,13622,22.57,0.0,10.08,0.0,0.0
361,13623,-0.58,140.2,19.27,0.0,0.0
362,13624,49.39,4.68,8.47,0.0,0.0
363,13625,21.85,23.94,3.04,0.0,0.0
364,13626,-7.64,6.09,-4.38,0.0,0.0
365,13628,24.08,-10.0,-9.68,0.0,0.0
366,13630,-2.0,1.63,-5.87,0.0,0.0
367,13633,31.17,2.0,2.55,0.0,0.0
368,13634,15.21,39.49,4.53,0.0,0.0
369,13635,10.92,23.55,-7.35,0.0,0.0
370,13636,-8.65,-10.36,3.3,0.0,0.0
371,13637,20.5,26.63,16.0,0.0,1.0
372,13638,26.32,-15.13,-4.03,0.0,0.0
373,13639,13.92,30.49,5.7,0.0,0.0
374,13640,-32.14,0.31,17.38,0.0,0.0
375,13641,57.82,-58.81,0.0,0.0,0.0
376,13642,-7.11,25.87,2.79,0.0,0.0
377,13643,15.05,10.15,-18.58,0.0,0.0
378,13646,-6.35,-4.6,16.89,0.0,0.0
379,13647,21.09,10.15,15.38,0.0,0.0
380,13648,24.47,13.64,-1.85,0.0,0.0
381,13650,62.94,34.02,2.51,0.0,0.0
382,13651,69.79,-5.41,12.2,0.0,0.0
383,13652,4.26,12.45,4.04,0.0,0.0
384,13654,2.86,23.43,-3.95,0.0,0.0
385,13655,5.03,14.27,-2.0,0.0,0.0
386,13656,3.61,13.15,-12.24,0.0,0.0
387,13658,18.19,57.83,-3.21,0.0,0.0
388,13659,31.23,20.17,12.65,0.0,0.0
389,13660,23.05,41.85,3.68,0.0,0.0
390,13661,39.31,32.59,2.89,0.0,0.0
391,13662,14.27,2.8,-0.42,0.0,1.0
392,13664,20.22,3.6,16.99,0.0,0.0
393,13665,56.25,-0.26,66.67,0.0,0.0
394,13666,56.2,20.77,20.69,0.0,0.0
395,13667,11.02,8.03,-5.82,0.0,0.0
396,13668,34.84,2.53,15.01,0.0,0.0
397,13669,20.08,10.78,7.56,0.0,1.0
398,13670,-0.27,17.28,19.09,0.0,0.0
399,13672,119.29,-31.09,-20.83,0.0,0.0
400,13673,17.43,35.42,13.31,0.0,0.0
401,13674,0.79,228.1,-51.23,0.0,0.0
402,13675,25.91,10.15,-45.81,0.0,0.0
403,13676,19.63,18.42,21.26,0.0,1.0
404,13677,81.64,10.15,43.22,0.0,0.0
405,13678,216.71,204.96,5.02,0.0,0.0
406,13679,5.14,-8.09,3.25,0.0,0.0
407,13680,-21.68,53.54,-5.79,0.0,0.0
408,13681,29.17,19.17,4.67,0.0,0.0
409,13682,7.47,28.11,-1.32,0.0,0.0
410,13684,21.36,14.27,-4.22,0.0,0.0
411,13685,0.65,60.61,-3.0,0.0,0.0
412,13687,-7.7,14.77,-8.38,0.0,0.0
413,13690,6.91,29.0,33.3,0.0,0.0
414,13691,30.36,39.25,2.31,0.0,0.0
415,13692,-44.2,-3.71,0.0,0.0,0.0
416,13693,7.31,35.14,-3.77,0.0,0.0
417,13694,19.37,26.96,4.62,0.0,0.0
418,13695,59.71,74.76,2.39,0.0,0.0
419,13696,15.05,10.15,0.0,0.0,0.0
420,13697,13.91,1.93,-1.5,0.0,0.0
421,13730,33.5,35.32,20.11,0.0,0.0
422,13731,9.18,21.88,4.38,0.0,0.0
423,13732,23.19,11.27,5.59,0.0,0.0
424,13733,14.79,4.24,0.53,0.0,0.0
425,13734,-26.08,-10.77,4.72,0.0,0.0
426,13736,19.98,0.82,-0.18,0.0,0.0
427,13739,41.97,23.87,10.6,0.0,0.0
428,13740,84.86,11.62,-0.22,0.0,0.0
429,13743,13.13,4.03,-0.34,0.0,0.0
430,13744,-10.9,16.55,13.77,0.0,0.0
431,13746,15.59,42.7,-3.05,0.0,0.0
432,13748,10.64,29.65,-7.21,0.0,0.0
433,13750,2.49,32.76,13.87,0.0,0.0
434,13751,51.29,84.24,-2.26,0.0,0.0
435,13752,7.55,0.65,-5.13,0.0,0.0
436,13753,2.49,-4.82,-13.51,0.0,0.0
437,13754,0.28,29.57,11.24,0.0,0.0
438,13755,10.27,-30.49,17.26,0.0,0.0
439,13756,28.29,76.62,8.14,0.0,0.0
440,13757,6.24,1.84,1.3,0.0,0.0
441,13760,12.98,9.87,0.64,0.0,0.0
442,13774,16.56,-54.93,31.76,0.0,0.0
443,13775,15.85,3.15,18.01,0.0,0.0
444,13776,23.7,-23.97,10.85,0.0,0.0
445,13777,47.18,70.51,18.0,0.0,0.0
446,13778,23.2,18.32,-4.09,0.0,0.0
447,13780,3.17,-1.45,-4.11,0.0,0.0
448,13782,47.14,11.3,-9.53,0.0,0.0
449,13783,9.26,-24.0,-4.05,0.0,0.0
450,13784,95.53,2.91,-17.22,0.0,0.0
451,13786,11.26,23.32,2.67,0.0,0.0
452,13787,-8.3,-6.04,3.9,0.0,0.0
453,13788,-1.41,1.43,1.51,0.0,0.0
454,13790,14.9,6.08,-3.6,0.0,1.0
455,13794,-22.1,-59.8,-33.51,0.0,0.0
456,13795,6.29,-9.87,2.98,0.0,0.0
457,13796,17.57,32.27,7.37,0.0,0.0
458,13797,9.36,-5.37,3.94,0.0,0.0
459,13801,-26.52,9.92,3.34,0.0,0.0
460,13802,81.3,-28.46,-7.94,0.0,0.0
461,13803,28.28,1.8,0.11,0.0,0.0
462,13804,7.81,11.75,24.25,0.0,0.0
463,13806,-27.26,-1.04,-4.54,0.0,0.0
464,13807,27.93,-2.49,5.09,0.0,0.0
465,13808,6.83,17.01,-11.78,0.0,0.0
466,13809,22.8,-23.75,5.77,0.0,0.0
467,13810,20.36,13.08,1.92,0.0,0.0
468,13811,42.54,26.2,-0.33,0.0,0.0
469,13812,32.92,7.19,-0.22,0.0,0.0
470,13813,4.39,0.6,6.79,0.0,0.0
471,13815,22.18,2.56,2.41,0.0,1.0
472,13820,24.79,5.34,2.65,1.0,1.0
473,13825,5.8,10.7,-1.28,0.0,0.0
474,13826,15.05,10.15,45.42,0.0,0.0
475,13827,5.83,5.28,7.97,0.0,0.0
476,13830,-11.24,7.23,3.31,0.0,0.0
477,13832,8.33,20.71,14.37,0.0,0.0
478,13833,0.94,13.33,2.94,0.0,0.0
479,13834,2815.25,1351.96,-47.83,0.0,0.0
480,13835,5.63,17.2,21.44,0.0,0.0
481,13838,-6.43,-3.0,-2.18,0.0,0.0
482,13839,-11.42,31.86,25.58,0.0,0.0
483,13841,18.06,20.85,6.32,0.0,0.0
484,13842,21.58,13.59,19.91,0.0,0.0
485,13843,1.22,-6.34,-0.6,0.0,0.0
486,13844,-0.39,-6.67,-5.44,0.0,0.0
